RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,20161,19983,21943,23868,25842,27439,29142,30210,30753,30981,30463,28696,27059,26230,27529,28814,30491,31410,32104,31951,31417,30438,28396,25168,22398,21344,21892,21575,21998,22994,25044,26017,26403,26388,25320,22998,20756,19536,20008
395057,11,"San Francisco, CA",Msa,CA,4448,4270,5245,6326,7347,7898,8172,8169,8453,8899,8785,7634,6390,5994,6785,7820,8821,9343,9506,9172,9173,9198,8698,7099,5571,5202,5747,5970,6512,7301,8589,9187,9595,9990,9621,8359,6924,6496,7073
395025,13,"Riverside, CA",Msa,CA,17510,17625,18610,19476,20306,20954,21619,21938,22021,22080,21946,21269,20716,20294,20872,21221,21622,21673,21664,21633,21344,21083,20341,19139,18073,17450,17404,16692,16439,16021,15708,14854,14169,13970,13346,12252,11094,10327,10322
395056,17,"San Diego, CA",Msa,CA,6483,6440,7165,7953,8752,9303,9867,10307,10582,10640,10411,9779,9229,8886,9243,9576,10084,10404,10673,10691,10403,9974,9175,8153,7349,7039,7303,7279,7516,7634,7961,7907,7762,7630,7155,6413,5647,5279,5457
395045,25,"Sacramento, CA",Msa,CA,5742,5395,5828,6506,7448,8213,8781,9163,9286,9311,8818,7933,7056,6474,6575,7008,7816,8577,9100,9359,9319,9031,8255,7133,6242,5897,6189,6389,6822,7145,7371,7147,6834,6710,6244,5450,4502,3990,4126
395059,34,"San Jose, CA",Msa,CA,1305,1319,1687,2090,2509,2748,2953,3028,3165,3275,3179,2745,2316,2212,2536,2956,3384,3660,3784,3673,3549,3401,3044,2435,1900,1791,2004,2152,2400,2658,2993,3095,3172,3268,3129,2745,2347,2271,2587
394619,56,"Fresno, CA",Msa,CA,1920,1884,2007,2150,2318,2430,2527,2605,2647,2672,2595,2458,2327,2268,2360,2452,2587,2687,2747,2778,2762,2736,2625,2423,2245,2130,2150,2106,2086,1986,1926,1840,1792,1758,1670,1518,1361,1260,1287
394357,63,"Bakersfield, CA",Msa,CA,2517,2560,2762,2973,3144,3307,3419,3540,3561,3529,3368,3128,2976,2890,2997,3071,3207,3330,3438,3499,3463,3412,3281,3074,2875,2767,2820,2816,2880,2843,2848,2789,2763,2695,2487,2217,1997,1862,1838
394952,66,"Ventura, CA",Msa,CA,1609,1566,1705,1884,2117,2310,2479,2594,2640,2633,2506,2300,2131,2045,2148,2272,2465,2597,2707,2692,2588,2422,2249,2002,1832,1757,1842,1851,1921,1991,2094,2045,1950,1835,1689,1482,1305,1237,1307
395134,77,"Stockton, CA",Msa,CA,1324,1263,1339,1440,1598,1714,1827,1948,2043,2099,2039,1885,1728,1616,1654,1744,1867,2007,2122,2199,2220,2203,2107,1906,1687,1553,1548,1532,1563,1553,1544,1463,1402,1377,1279,1116,961,903,967
